COPY public.contracts (id, freelancer_id, client_id, offer_id, task_id, budget, deadline_days, status, work_started_at, work_stopped_at, cancelled_by_freelancer, created_at, updated_at, evaluate, deadline_at, miss_deadline) FROM stdin;
36	172	1	67	75	800	2	COMPLETED	2024-10-09 05:50:31.538873	\N	\N	2024-10-09 05:50:31.541003	2024-10-16 10:19:44.239518	10	\N	\N
38	172	1	69	73	1600	2	COMPLETED	2024-10-09 05:50:38.564637	\N	\N	2024-10-09 05:50:38.566759	2024-10-16 13:46:14.866675	10	\N	\N
37	172	1	68	74	800	2	COMPLETED	2024-10-09 05:50:34.266159	\N	\N	2024-10-09 05:50:34.268252	2024-10-16 13:46:19.187827	10	\N	\N
39	90	1	70	81	1	1	ATWORK	2024-10-31 06:23:04.328458	\N	\N	2024-10-31 06:23:04.330536	\N	\N	\N	\N
40	90	1	71	82	1	1	COMPLETED	2024-10-31 06:41:11.765517	\N	\N	2024-10-31 06:41:11.767694	2024-10-31 08:12:48.70374	10	\N	\N
41	90	1	73	84	1	1	ATWORK	2024-11-01 08:16:17.389963	\N	\N	2024-11-01 08:16:17.393508	\N	\N	\N	\N
42	6	1	74	86	500	1	COMPLETED	2024-11-12 10:02:07.573921	\N	\N	2024-11-12 10:02:07.583941	2024-11-12 10:15:43.902667	10	\N	\N
2	7	1	6	5	1500	2	CANCELLED	2024-08-21 20:11:46.448551	2024-11-13 19:54:09.055547	t	2024-08-21 20:11:46.457032	2024-11-13 19:54:09.060088	\N	\N	\N
1	1	1	1	2	5000	5	CANCELLED	2024-08-21 07:36:18.629712	2024-11-13 19:54:10.383195	\N	2024-08-21 07:36:18.637967	2024-11-13 19:54:10.388823	\N	\N	\N
9	7	1	22	28	4	5	CANCELLED	2024-08-28 13:08:54.471559	2024-11-13 19:54:11.463645	\N	2024-08-28 13:08:54.475616	2024-11-13 19:54:11.465286	\N	\N	\N
13	1	1	27	33	1	15	CANCELLED	2024-08-28 21:02:06.260238	2024-11-13 19:54:13.027889	\N	2024-08-28 21:02:06.262285	2024-11-13 19:54:13.02961	\N	\N	\N
14	29	1	28	32	500	1	CANCELLED	2024-08-28 21:24:10.46813	2024-11-13 19:55:57.427687	\N	2024-08-28 21:24:10.471564	2024-11-13 19:55:57.429384	\N	\N	\N
43	1	1	76	95	100	1	COMPLETED	2024-11-18 08:14:43.701818	\N	\N	2024-11-18 08:14:43.706634	2024-11-18 08:16:53.49635	5	\N	\N
44	28	1	77	97	6000	4	ATWORK	2024-11-25 20:12:15.421773	\N	\N	2024-11-25 20:12:15.438157	\N	\N	\N	\N
47	6	219	82	106	333	3	ATWORK	2024-11-29 18:20:19.066386	\N	\N	2024-11-29 18:20:19.072237	\N	\N	\N	\N
48	6	219	83	107	333	3	CANCELLED	2024-11-29 18:31:15.075996	\N	\N	2024-11-29 18:31:15.080391	2024-11-29 18:34:44.454231	\N	\N	\N
46	6	1	81	96	750	2	COMPLETED	2024-11-29 12:19:50.017118	\N	\N	2024-11-29 12:19:50.019822	2024-12-01 09:38:04.289207	10	\N	\N
45	6	1	80	99	750	1	COMPLETED	2024-11-29 12:19:45.277142	\N	\N	2024-11-29 12:19:45.28137	2024-12-01 09:38:35.244457	10	\N	\N
50	23	227	89	110	600	1	ATWORK	2024-12-01 10:53:00.784665	\N	\N	2024-12-01 10:53:00.787159	\N	\N	\N	\N
51	204	221	84	108	30000	14	ATWORK	2024-12-01 11:02:59.836834	\N	\N	2024-12-01 11:02:59.838868	\N	\N	\N	\N
52	1	229	91	112	543643	1	ATWORK	2024-12-01 11:36:12.729962	\N	\N	2024-12-01 11:36:12.73351	\N	\N	\N	\N
53	6	229	92	113	333	3	ATWORK	2024-12-01 11:40:55.557835	\N	\N	2024-12-01 11:40:55.560208	\N	\N	\N	\N
54	86	227	87	109	700	3	ATWORK	2024-12-01 11:58:14.95826	\N	\N	2024-12-01 11:58:14.969555	\N	\N	\N	\N
55	230	228	93	111	800	1	ATWORK	2024-12-01 14:11:38.121522	\N	\N	2024-12-01 14:11:38.124609	\N	\N	\N	\N
60	1	244	100	124	1	1	ATWORK	2024-12-05 15:25:27.845359	\N	\N	2024-12-05 15:25:27.849875	\N	\N	2024-12-06 15:25:27.845349	f
61	250	228	102	111	1000	1	ATWORK	2024-12-06 07:54:26.660225	\N	\N	2024-12-06 07:54:26.664226	\N	\N	2024-12-07 07:54:26.660214	f
62	257	1	104	50	1	1	ATWORK	2024-12-07 16:07:19.498825	\N	\N	2024-12-07 16:07:19.50102	2024-12-07 16:07:31.457913	10	2024-12-08 16:07:19.498816	f
63	257	259	108	129	1	1	ATWORK	2024-12-07 18:43:57.129732	\N	\N	2024-12-07 18:43:57.139601	\N	\N	2024-12-08 18:43:57.129719	f
64	257	258	107	128	1	1	ATWORK	2024-12-07 18:44:04.543351	\N	\N	2024-12-07 18:44:04.545789	\N	\N	2024-12-08 18:44:04.543342	f
65	257	258	105	126	1	1	ATWORK	2024-12-07 18:44:07.488516	\N	\N	2024-12-07 18:44:07.490831	\N	\N	2024-12-08 18:44:07.488505	f
66	257	260	106	127	1	1	ATWORK	2024-12-07 18:44:09.344804	\N	\N	2024-12-07 18:44:09.347098	\N	\N	2024-12-08 18:44:09.344795	f
